time,P,G(i),H_sun,T2m,WS10m,Int
20150106:1410,5891.36,104.04,12.57,4.71,2.48,0.0
20150106:1510,902.45,25.53,6.5,5.11,2.69,0.0
20150106:1610,0.0,0.0,0.0,5.01,2.76,0.0
20150106:1710,0.0,0.0,0.0,4.78,2.9,0.0
20150106:1810,0.0,0.0,0.0,5.45,3.03,0.0
20150106:1910,0.0,0.0,0.0,4.39,2.76,0.0
20150106:2010,0.0,0.0,0.0,4.78,2.55,0.0
20150106:2110,0.0,0.0,0.0,5.17,2.34,0.0
20150106:2210,0.0,0.0,0.0,5.3,2.34,0.0
20150106:2310,0.0,0.0,0.0,5.08,2.34,0.0
20150107:0010,0.0,0.0,0.0,4.68,1.86,0.0
20150107:0110,0.0,0.0,0.0,3.77,1.93,0.0
20150107:0210,0.0,0.0,0.0,2.94,1.86,0.0
20150107:0310,0.0,0.0,0.0,2.11,1.72,0.0
20150107:0410,0.0,0.0,0.0,1.2,1.52,0.0
20150107:0510,0.0,0.0,0.0,0.93,1.17,0.0
20150107:0610,0.0,0.0,0.0,1.24,0.9,0.0
20150107:0710,0.0,0.0,0.0,-0.33,0.41,0.0
20150107:0810,0.0,1.82,2.84,-1.17,0.55,0.0
20150107:0910,7898.15,130.82,9.75,0.01,0.76,0.0
20150107:1010,5890.6,102.91,14.95,1.08,0.97,0.0
20150107:1110,6569.9,113.64,18.03,2.39,1.03,0.0
20150107:1210,7505.75,127.84,18.69,3.55,1.17,0.0
20150107:1310,3328.97,65.66,16.86,4.47,1.31,0.0
20150107:1410,2629.94,54.72,12.72,4.96,1.52,0.0
20150107:1510,433.39,16.41,6.66,5.22,1.79,0.0
20150107:1610,0.0,0.0,0.0,5.12,1.72,0.0
20150107:1710,0.0,0.0,0.0,5.08,2.14,0.0
20150107:1810,0.0,0.0,0.0,5.25,2.62,0.0
20150107:1910,0.0,0.0,0.0,4.66,2.76,0.0
20150107:2010,0.0,0.0,0.0,4.85,3.17,0.0
20150107:2110,0.0,0.0,0.0,4.88,3.45,0.0
20150107:2210,0.0,0.0,0.0,4.98,3.79,0.0
20150107:2310,0.0,0.0,0.0,4.94,4.0,0.0
20150108:0010,0.0,0.0,0.0,5.16,4.0,0.0
20150108:0110,0.0,0.0,0.0,5.6,4.14,0.0
20150108:0210,0.0,0.0,0.0,6.2,4.28,0.0
20150108:0310,0.0,0.0,0.0,6.83,4.41,0.0
20150108:0410,0.0,0.0,0.0,7.44,4.55,0.0
20150108:0510,0.0,0.0,0.0,8.01,4.55,0.0
20150108:0610,0.0,0.0,0.0,8.48,4.69,0.0
20150108:0710,0.0,0.0,0.0,8.57,5.17,0.0
20150108:0810,81.21,8.21,2.9,8.82,5.66,0.0
20150108:0910,3532.39,69.5,9.82,8.99,6.21,0.0
20150108:1010,2191.99,48.33,15.05,9.26,6.83,0.0
20150108:1110,3376.79,67.48,18.15,9.49,7.31,0.0
20150108:1210,10754.27,177.38,18.83,9.56,7.59,0.0
20150108:1310,2857.64,59.28,17.01,9.79,7.66,0.0
20150108:1410,16982.62,267.51,12.88,10.11,7.93,0.0
20150108:1510,9955.8,167.51,6.82,10.04,7.1,0.0
20150108:1610,0.0,0.0,0.0,9.04,5.59,0.0
20150108:1710,0.0,0.0,0.0,8.03,4.34,0.0
20150108:1810,0.0,0.0,0.0,7.36,3.79,0.0
20150108:1910,0.0,0.0,0.0,7.8,3.93,0.0
20150108:2010,0.0,0.0,0.0,7.1,3.79,0.0
20150108:2110,0.0,0.0,0.0,6.48,3.72,0.0
20150108:2210,0.0,0.0,0.0,6.04,3.72,0.0
20150108:2310,0.0,0.0,0.0,5.82,3.86,0.0
20150109:0010,0.0,0.0,0.0,6.05,4.34,0.0
20150109:0110,0.0,0.0,0.0,6.4,4.83,0.0
20150109:0210,0.0,0.0,0.0,6.42,5.1,0.0
20150109:0310,0.0,0.0,0.0,6.64,5.45,0.0
20150109:0410,0.0,0.0,0.0,6.86,5.93,0.0
20150109:0510,0.0,0.0,0.0,7.03,6.41,0.0
20150109:0610,0.0,0.0,0.0,7.24,6.55,0.0
20150109:0710,0.0,0.0,0.0,7.94,6.62,0.0
20150109:0810,692.97,21.87,2.96,8.57,6.62,0.0
20150109:0910,5489.85,99.36,9.9,9.43,6.0,0.0
20150109:1010,3478.5,69.31,15.15,10.13,5.72,0.0
20150109:1110,7210.5,126.43,18.27,10.83,6.07,0.0
20150109:1210,4323.26,82.99,18.97,11.47,5.86,0.0
20150109:1310,15613.39,250.76,17.16,12.04,5.31,0.0
20150109:1410,5472.39,100.59,13.04,12.14,5.38,0.0
20150109:1510,1974.92,45.21,6.99,12.03,5.45,0.0
20150109:1610,0.0,0.0,0.0,11.72,5.52,0.0
